MLP Model:
NetWork(
  (fc): Sequential(
    (0): Linear(in_features=10800, out_features=2048, bias=True)
    (1): Dropout(p=0.5, inplace=False)
    (2): ReLU()
    (3): Linear(in_features=2048, out_features=1024, bias=True)
    (4): Dropout(p=0.5, inplace=False)
    (5): ReLU()
    (6): Linear(in_features=1024, out_features=512, bias=True)
    (7): Dropout(p=0.5, inplace=False)
    (8): ReLU()
    (9): Linear(in_features=512, out_features=256, bias=True)
    (10): Dropout(p=0.5, inplace=False)
    (11): ReLU()
    (12): Linear(in_features=256, out_features=4, bias=True)
  )
)
tensor([0.0339, 0.0357, 0.0465, 0.0208], device='cuda:0')
Epoch [1/1000], Loss: 0.0016, Saved!
Epoch [64/1000], Loss: 0.2319, Acc: 0.9213,ValidSet Acc: 0.2986
Epoch [65/1000], Loss: 0.1458, Acc: 0.9653,ValidSet Acc: 0.2986
Epoch [66/1000], Loss: 0.1278, Acc: 0.9583,ValidSet Acc: 0.2986
Epoch [67/1000], Loss: 0.1716, Acc: 0.9583,ValidSet Acc: 0.2986
Epoch [68/1000], Loss: 0.1200, Acc: 0.9444,ValidSet Acc: 0.2986
Epoch [69/1000], Loss: 0.1152, Acc: 0.9653,ValidSet Acc: 0.3194
Epoch [70/1000], Loss: 0.3317, Acc: 0.9421,ValidSet Acc: 0.3194
Epoch [71/1000], Loss: 0.3733, Acc: 0.9491,ValidSet Acc: 0.3194
Epoch [72/1000], Loss: 0.2138, Acc: 0.9375,ValidSet Acc: 0.3403
Epoch [73/1000], Loss: 0.2626, Acc: 0.9398,ValidSet Acc: 0.3403
Epoch [74/1000], Loss: 0.1368, Acc: 0.9398,ValidSet Acc: 0.3403
Epoch [75/1000], Loss: 0.1579, Acc: 0.9653,ValidSet Acc: 0.3403
Epoch [76/1000], Loss: 0.2839, Acc: 0.9074,ValidSet Acc: 0.2986
Epoch [77/1000], Loss: 0.2740, Acc: 0.9491,ValidSet Acc: 0.2986
Epoch [78/1000], Loss: 0.0471, Acc: 0.9838,ValidSet Acc: 0.2986
Epoch [79/1000], Loss: 0.0613, Acc: 0.9722,ValidSet Acc: 0.2986
Epoch [80/1000], Loss: 0.0478, Acc: 0.9722,ValidSet Acc: 0.3194
Epoch [81/1000], Loss: 0.1066, Acc: 0.9560,ValidSet Acc: 0.2986
Epoch [82/1000], Loss: 0.1031, Acc: 0.9792,ValidSet Acc: 0.2986
Epoch [83/1000], Loss: 0.1161, Acc: 0.9560,ValidSet Acc: 0.2986
Epoch [84/1000], Loss: 0.0824, Acc: 0.9653,ValidSet Acc: 0.2986
Epoch [85/1000], Loss: 0.1425, Acc: 0.9722,ValidSet Acc: 0.3194
Epoch [86/1000], Loss: 0.2006, Acc: 0.9282,ValidSet Acc: 0.3194
Epoch [87/1000], Loss: 0.1043, Acc: 0.9861,ValidSet Acc: 0.2986
Epoch [88/1000], Loss: 0.2248, Acc: 0.9583,ValidSet Acc: 0.3194
Epoch [89/1000], Loss: 0.0777, Acc: 0.9792,ValidSet Acc: 0.2986
