MLP Model:
NetWork(
  (fc): Sequential(
    (0): Linear(in_features=186, out_features=256, bias=True)
    (1): Dropout(p=0.5, inplace=False)
    (2): ReLU()
    (3): Linear(in_features=256, out_features=128, bias=True)
    (4): Dropout(p=0.5, inplace=False)
    (5): ReLU()
    (6): Linear(in_features=128, out_features=5, bias=True)
  )
)
tensor([0.0392, 0.0202, 0.0357, 0.0465, 0.0192], device='cuda:0')
Epoch [1/1000], Loss: 0.9162, Saved!
Epoch [66/1000], Loss: 1.1115, Acc: 0.5522,ValidSet Acc: 0.2031
Epoch [67/1000], Loss: 1.0806, Acc: 0.5728,ValidSet Acc: 0.1875
Epoch [68/1000], Loss: 1.1091, Acc: 0.5630,ValidSet Acc: 0.1875
Epoch [69/1000], Loss: 0.9882, Acc: 0.6076,ValidSet Acc: 0.1875
Epoch [70/1000], Loss: 1.1355, Acc: 0.5414,ValidSet Acc: 0.2083
Epoch [71/1000], Loss: 1.0039, Acc: 0.5893,ValidSet Acc: 0.2083
Epoch [72/1000], Loss: 0.9418, Acc: 0.5747,ValidSet Acc: 0.2083
Epoch [73/1000], Loss: 1.0297, Acc: 0.5719,ValidSet Acc: 0.2083
Epoch [74/1000], Loss: 1.0274, Acc: 0.5804,ValidSet Acc: 0.2240
Epoch [75/1000], Loss: 1.2358, Acc: 0.5724,ValidSet Acc: 0.2083
Epoch [76/1000], Loss: 1.0285, Acc: 0.6081,ValidSet Acc: 0.2240
Epoch [77/1000], Loss: 1.0115, Acc: 0.5827,ValidSet Acc: 0.2240
Epoch [78/1000], Loss: 0.9515, Acc: 0.6302,ValidSet Acc: 0.2240
Epoch [79/1000], Loss: 1.0072, Acc: 0.5719,ValidSet Acc: 0.2083
Epoch [80/1000], Loss: 0.8900, Saved!
Epoch [80/1000], Loss: 0.8900, Acc: 0.6494,ValidSet Acc: 0.2240
Epoch [81/1000], Loss: 1.0241, Acc: 0.6320,ValidSet Acc: 0.2083
Epoch [82/1000], Loss: 0.9892, Acc: 0.5794,ValidSet Acc: 0.2240
